"id","sentence"
1,"Two recent studies shed light on whether video games are good or bad for kids ."
2,"Modern studies suggest that the battle was smaller and that both sides were more evenly matched than traditional accounts suggest ."
3,"This species of sunflower , indigenous to the Americas , was brought to Europe in the 16th century and used widely ( together with its oil ) as a cooking ingredient , though it can also be used as bird food , as livestock forage , and in some industrial applications ."
4,"The object of the game is to collect cubes and cube fragments to restore order to the universe ."
5,"Seward did his best to stop the southern states from seceding ; once that failed , he devoted himself wholeheartedly to the Union cause ."
6,"In 1997 , John Bargerm , editor of Robot Wisdom , coined the term "" web-log "" while attempting to describe the daily list of sites that he "" logged "" onto during his web travels ."
7,"We all have to deal with difficult people we can 't avoid ."
8,"Ready to give your business some big time attention ?"
9,"Girl Scouts of Kansas Heartland is recruiting new girl members and adult volunteers to join Girl Scouts , the pre-eminent leadership development organization for girls where they can make new friends , take action in their communities – and have fun ."
10,"Subscribe here and make sure to stay in the know of who 's next to take the crown in Snoop ’s weekly countdown ."
